client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
031903093b6fa1aeb0a243843eb9ed57baf6e99d1f8f9217aa554c3550868611a39ef44a7a3ae1f8bba0960d7133ce30fff132efc9d8d1c79062405b6999f9c3	common_voice_en_41383256.mp3	f19a785911b1a3b1338e3eb5cc785e58b8381d21ec7c337d9070ef26dafa10d6	The outer rim has undergone some erosion due to subsequent impacts.		2	0					en	
058fe5b1170aa09ef3f1092b179384639bc46ac53c16753f3305b3242579ec99a0edf459e177cc415fd00be4f34f08a99cf670b90077a0622f5c4a71423f7eea	common_voice_en_41823983.mp3	f50360e1be367d8155b3c8340f0b3d38d1e6701df79dc569ac62d9a2af98a4b7	For purposes of this definition, the intent may be conditional.		3	0	fifties	female_feminine	United States English,Washington State		en	
08190396a5c298331813531d1a832b56d8ffe44aaedcb74d1e99a06de8d2c136224a6c64eb69e59d89c8d2d32c7c0b33508a6eca88ffadfea7238a3caffbd925	common_voice_en_41881685.mp3	f4f3a5714cc36a9abbabf78a33feb4a9c368005f1f4bf555bd2047c39d089062	Bennett was educated at Lawnswood High School, Leeds, and Hertford College, Oxford.		2	0	fourties	female_feminine	United States English,southern draw		en	
14698ee63cabe08b43f0faa93304202d1e6ffeaa2cdf8659d41413ab04292bfe1c0e122d55215c3b6279bf4e851f71c490c562b65733ca3084e7292a05d74d4e	common_voice_en_41799514.mp3	f4d04f6e48777c3ad180c629858a19fdfa4cb875d2bb2220a9846e4a09f7d63f	These rules became known as Admiral-Lord Mountevans rules.		2	0	twenties		Japan English		en	
28d8f8a88afad9eb9e5b36ee84bd4c5ba84137310da15f1e4517a068158f65b486e1f07a83241b45e1c571f94a8603750b9cff4e58968b6b10e636739a977561	common_voice_en_41552032.mp3	f262ed293fa5fe0986d1e7a80b5bbae11205f8089a18571ca7d31ee698d7cee3	The grouping traditionally called apes is bracketed from the right.		2	0			Canadian English,English Hungarian		en	
29f0a09db1abdd5ad550cc754834822748ab17043e7b51953132a885d24bb63a49b770e6e7c92d6a42c1f8339bea99cb5b796f877b339b73bf3ac54e26f57c02	common_voice_en_41827319.mp3	f506be20f56b00999c323469c384114e27bb5fa0372d0e4ab1da62fc49534e56	The track "Coca Leaf" is made up of vocal samples of singing women.		2	0					en	
302b51de89ba0e815cce38bba05ee858e556375d19c74554175b32c2f93dc57bc44d0a3c15bf844eea5cd752b97c28fee9b2310029276363f9eabc67eb0c9cca	common_voice_en_41526838.mp3	f21bd922ee542930c8c3914edad64557f31004a22a80a1d7c65c8c37eb73625d	He also taught at the same university.		4	0	sixties	female_feminine	United States English		en	
31a787d9d9c7203d20fbd2b9590c92dda91ef69e2b36f749d589a33bebef59931f3c02d0e1124ff66276f744c33999a5c30fb4b7e9b991c3dacb02af2b26b088	common_voice_en_41435787.mp3	f1b86bcf63efc1b0117b5587f8803741a5a6917ab4442119851bfc0b50576fa0	Most "Naruto" video games have been released only in Japan.		3	0					en	
40ef8f7ec5e58f2ba7b9c934cf57ae928bae5b13662b8fa5c1fa6eebc2718a028a0eb34ca4663e039f2136baec5ad995c541fc2deb0a5d280b2989a07019ae05	common_voice_en_41633128.mp3	f2d2020fe97305b41d4c626ee2963f0984e255e5599105d8ceed805142d0b57d	Bold denotes players currently active in international football.		2	0	thirties	female_feminine	United States English		en	
4af8321a13399a2662bef236a736ad5329cb2edfe01eee6139e16dae251187927114c436300c09c6cca0fcf7bab73246ad76f59d6d3ff9c0fd55b31f98b42fad	common_voice_en_41586424.mp3	f2872bf6e9d312de78bdcc664bc348936d9039966c410411887feede4b61291e	At South Side, Greer was an all state selection in both football and track.		2	0	fifties	female_feminine	United States English		en	
