clip	duration[ms]
common_voice_fr_39601380.mp3	8136
common_voice_fr_39601381.mp3	4680
common_voice_fr_39971570.mp3	3348
common_voice_fr_39742290.mp3	5256
common_voice_fr_39725342.mp3	5724
common_voice_fr_39772886.mp3	6120
common_voice_fr_40109425.mp3	3888
common_voice_fr_39629639.mp3	4608
common_voice_fr_39772738.mp3	7128
common_voice_fr_39793494.mp3	5580
common_voice_fr_39643364.mp3	3852
common_voice_fr_39747825.mp3	4788
common_voice_fr_39628426.mp3	7128
common_voice_fr_39743206.mp3	4536
common_voice_fr_39630547.mp3	4536
common_voice_fr_40114097.mp3	6624
common_voice_fr_39865566.mp3	3096
common_voice_fr_39613884.mp3	5436
common_voice_fr_40122651.mp3	4320
common_voice_fr_39617473.mp3	4752
common_voice_fr_40182815.mp3	4896
common_voice_fr_39866282.mp3	5112
common_voice_fr_39813840.mp3	7020
common_voice_fr_40142735.mp3	6768
common_voice_fr_39746198.mp3	6660
common_voice_fr_39592446.mp3	6228
common_voice_fr_39769376.mp3	8136
common_voice_fr_40019699.mp3	6084
common_voice_fr_39752819.mp3	5688
common_voice_fr_40088260.mp3	4536
common_voice_fr_40029405.mp3	5400
common_voice_fr_39603064.mp3	6408
common_voice_fr_39933657.mp3	7236
common_voice_fr_39694893.mp3	4896
common_voice_fr_39748843.mp3	3852
common_voice_fr_39738385.mp3	4608
common_voice_fr_40124557.mp3	4896
common_voice_fr_39880401.mp3	5400
common_voice_fr_39596188.mp3	3384
common_voice_fr_40105452.mp3	3960
common_voice_fr_39622531.mp3	4140
common_voice_fr_39764850.mp3	2340
common_voice_fr_39658506.mp3	3996
common_voice_fr_40157913.mp3	5292
common_voice_fr_39588153.mp3	2160
common_voice_fr_39744384.mp3	5256
common_voice_fr_40026678.mp3	7128
common_voice_fr_39866293.mp3	3636
common_voice_fr_39884459.mp3	4788
common_voice_fr_40029372.mp3	5256
common_voice_fr_40071118.mp3	6372
common_voice_fr_40014689.mp3	4140
common_voice_fr_39916160.mp3	6516
common_voice_fr_39656486.mp3	4968
common_voice_fr_39782631.mp3	5976
common_voice_fr_39950090.mp3	5148
common_voice_fr_40029336.mp3	5904
common_voice_fr_39607929.mp3	4068
common_voice_fr_39754086.mp3	6948
common_voice_fr_39606881.mp3	4968
common_voice_fr_39630382.mp3	4644
common_voice_fr_39598504.mp3	7488
common_voice_fr_39842090.mp3	3276
common_voice_fr_39812865.mp3	6660
common_voice_fr_39619867.mp3	6408
common_voice_fr_39769368.mp3	9036
common_voice_fr_40019453.mp3	3672
common_voice_fr_39737377.mp3	2340
common_voice_fr_39772911.mp3	3348
common_voice_fr_40026177.mp3	5868
common_voice_fr_39619228.mp3	6336
common_voice_fr_39593823.mp3	7164
common_voice_fr_39773655.mp3	3672
common_voice_fr_39595361.mp3	4212
common_voice_fr_39895910.mp3	5868
common_voice_fr_39813724.mp3	5220
common_voice_fr_39840479.mp3	3168
common_voice_fr_39742807.mp3	6408
common_voice_fr_39623536.mp3	4968
common_voice_fr_40019611.mp3	6084
common_voice_fr_39747685.mp3	4320
common_voice_fr_39896053.mp3	4860
common_voice_fr_39658055.mp3	3960
common_voice_fr_39678298.mp3	6408
common_voice_fr_39825350.mp3	6156
common_voice_fr_39813745.mp3	4464
common_voice_fr_39593602.mp3	6696
common_voice_fr_39595010.mp3	3636
common_voice_fr_39631251.mp3	4284
common_voice_fr_40087495.mp3	8676
common_voice_fr_40164274.mp3	6912
common_voice_fr_40128560.mp3	6300
common_voice_fr_39823359.mp3	4320
common_voice_fr_40177169.mp3	6552
common_voice_fr_39586447.mp3	3024
common_voice_fr_39587540.mp3	4356
common_voice_fr_39598367.mp3	4176
common_voice_fr_39614618.mp3	3060
common_voice_fr_39896087.mp3	6696
common_voice_fr_39938711.mp3	5040
common_voice_fr_39604281.mp3	6084
common_voice_fr_40087213.mp3	3276
common_voice_fr_39884440.mp3	3816
common_voice_fr_39757340.mp3	6948
common_voice_fr_39869614.mp3	6336
common_voice_fr_39660942.mp3	4428
common_voice_fr_39658512.mp3	4464
common_voice_fr_39856943.mp3	2232
common_voice_fr_39822178.mp3	7164
common_voice_fr_40022736.mp3	4500
common_voice_fr_39858125.mp3	4248
common_voice_fr_39588191.mp3	6516
common_voice_fr_39606118.mp3	5364
common_voice_fr_39681023.mp3	5724
common_voice_fr_40073886.mp3	5436
common_voice_fr_40026520.mp3	6120
common_voice_fr_39608262.mp3	7524
common_voice_fr_39643400.mp3	5184
common_voice_fr_39747176.mp3	4068
common_voice_fr_39744123.mp3	3132
common_voice_fr_39772774.mp3	5076
common_voice_fr_39661316.mp3	4248
common_voice_fr_39751187.mp3	4176
common_voice_fr_39952464.mp3	5688
common_voice_fr_39747304.mp3	2988
common_voice_fr_39836925.mp3	5868
common_voice_fr_40115368.mp3	5760
common_voice_fr_39613713.mp3	4356
common_voice_fr_39790939.mp3	6372
common_voice_fr_39938660.mp3	4824
common_voice_fr_40113484.mp3	6156
common_voice_fr_39773480.mp3	5436
