clip	duration[ms]
common_voice_en_41447677.mp3	6660
common_voice_en_41641248.mp3	8136
common_voice_en_41907498.mp3	7236
common_voice_en_41893563.mp3	7308
common_voice_en_41650518.mp3	6804
common_voice_en_41764818.mp3	5256
common_voice_en_41382222.mp3	8064
common_voice_en_41653575.mp3	6660
common_voice_en_41592387.mp3	3420
common_voice_en_41910149.mp3	4248
common_voice_en_41679144.mp3	1656
common_voice_en_41447982.mp3	7092
common_voice_en_41518290.mp3	10116
common_voice_en_41888662.mp3	7848
common_voice_en_41772043.mp3	7308
common_voice_en_41650589.mp3	5004
common_voice_en_41876395.mp3	10116
common_voice_en_41471888.mp3	3060
common_voice_en_41671737.mp3	9036
common_voice_en_41684973.mp3	11520
common_voice_en_41546304.mp3	6336
common_voice_en_41683073.mp3	11268
common_voice_en_41875047.mp3	9396
common_voice_en_41376860.mp3	2880
common_voice_en_41693799.mp3	4572
common_voice_en_41597050.mp3	7920
common_voice_en_41600522.mp3	6156
common_voice_en_41646906.mp3	4500
common_voice_en_41796562.mp3	4644
common_voice_en_41878863.mp3	5616
common_voice_en_41477620.mp3	7848
common_voice_en_41682689.mp3	4176
common_voice_en_41382344.mp3	3816
common_voice_en_41479282.mp3	13716
common_voice_en_41862299.mp3	7200
common_voice_en_41669140.mp3	2268
common_voice_en_41605111.mp3	3240
common_voice_en_41695081.mp3	2340
common_voice_en_41796414.mp3	4284
common_voice_en_41350645.mp3	5220
common_voice_en_41705586.mp3	1476
common_voice_en_41796135.mp3	3348
common_voice_en_41799033.mp3	2592
common_voice_en_41485355.mp3	3708
common_voice_en_41669016.mp3	1836
common_voice_en_41692028.mp3	4860
common_voice_en_41549908.mp3	9180
common_voice_en_41798369.mp3	3168
common_voice_en_41692536.mp3	6300
common_voice_en_41796094.mp3	6408
common_voice_en_41797256.mp3	1800
common_voice_en_41466039.mp3	4860
common_voice_en_41865272.mp3	4968
common_voice_en_41580165.mp3	9720
common_voice_en_41659659.mp3	6516
common_voice_en_41687252.mp3	7740
common_voice_en_41909106.mp3	7200
common_voice_en_41795119.mp3	9108
common_voice_en_41797479.mp3	9072
common_voice_en_41655149.mp3	1620
common_voice_en_41611864.mp3	5688
common_voice_en_41705241.mp3	15156
common_voice_en_41281304.mp3	8028
common_voice_en_41798489.mp3	4896
common_voice_en_41693703.mp3	15300
common_voice_en_41877427.mp3	6336
common_voice_en_41447298.mp3	7200
common_voice_en_41758451.mp3	9396
common_voice_en_41686474.mp3	5328
common_voice_en_41400085.mp3	6048
common_voice_en_41705580.mp3	1548
common_voice_en_41704968.mp3	7560
common_voice_en_41895948.mp3	7596
common_voice_en_41747319.mp3	10116
common_voice_en_41454232.mp3	7308
common_voice_en_41820024.mp3	6228
common_voice_en_41717259.mp3	5292
common_voice_en_41664414.mp3	5220
common_voice_en_41851179.mp3	5976
common_voice_en_41799866.mp3	6228
common_voice_en_41669371.mp3	3960
common_voice_en_41650572.mp3	5760
common_voice_en_41307240.mp3	3456
